id,abstract,author,cites,cites_id,journal,number,pages,publisher,title,url,volume,year,citation_link,id_citations

1013000,"Microgrid (MG) is the indispensable infrastructure of nowadays smart grid, however, fluctuation and intermittence resulted from unstable micro-sources and nonlinear loads will execute considerable impacts on normal operation of the MG. Energy storage technology presents a preferable solution to the above issue. The paper gives a full scope review of the principal energy storage technologies being developed so far, and the features and benefits of energy storage systems (ESSs) within the MG are analyzed in details including ESS configuration and topologies, power electronics interfaces, ESS control schemes for charging/discharging, control strategy of hybrid ESS as well as optimization of the renewable sources and ESS. The future trends and challenges of ESS are also fully accounted, with a view to proposing smart ESS as the promising technology in the future for MG and smart grid.",Xingguo Tan and Qingmin Li and Hui Wang,532,4936999357652052910,International Journal of Electrical Power & Energy Systems,1,179-191,Elsevier,Advances and trends of energy storage technology in microgrid,https://www.sciencedirect.com/science/article/pii/S0142061512003754,44,2013,/scholar?cites=4936999357652052910,siz6KbYAAAAJ:8dmKnlANe1sC

1013001,"We report a novel phase of carbon possessing a monoclinic C 2/m structure (8 atoms/cell) identified using an ab initio evolutionary structural search. This polymorph, which we call M-carbon, is related to the (2× 1) reconstruction of the (111) surface of diamond and can also be viewed as a distorted (through sliding and buckling of the sheets) form of graphite. It is stable over cold-compressed graphite above 13.4 GPa. The simulated x-ray diffraction pattern and near K-edge spectroscopy are in satisfactory agreement with the experimental data [WL Mao et al., Science 302, 425 (2003)] on overcompressed graphite. The hardness and bulk modulus of this new carbon polymorph are calculated to be 83.1 and 431.2 GPa, respectively, which are comparable to those of diamond.",Quan Li and Yanming Ma and Artem R Oganov and Hongbo Wang and Hui Wang and Ying Xu and Tian Cui and Ho-Kwang Mao and Guangtian Zou,501,17037020371048295547,Physical review letters,17,175506,American Physical Society,Superhard monoclinic polymorph of carbon,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.102.175506,102,2009,/scholar?cites=17037020371048295547,siz6KbYAAAAJ:lvi_KyGYEDoC

1013002,"In 5 recent years (2000–2004), the Changjiang (Yangtze) River has discharged past Datong (600 km from the river mouth) an average of ∼250 million tons (mt) of sediment per year, a decrease of more than 40% since the 1950s and 1960s, whereas water discharge at Datong has increased slightly. Water and sediment discharge data from the upper, middle, and lower reaches of the river suggest that the reduction of the Changjiang sediment load has occurred in two phases between 1950 and 2002: following the closure of the Danjiangkou Reservoir on the Hanjiang tributary in 1968 and following the installation of numerous dams and water‐soil conservation works in the Jialingjijang catchment after 1985. As the Three Gorges Dam (TGD) started operating in 2003, the Changjiang entered a third phase of sediment reduction with annual sediment loads at Datong less than 200 mt/yr. Upon completion of the Three …",Z-S Yang and H-J Wang and Y Saito and JD Milliman and K Xu and S Qiao and G Shi,464,10201380969259335887,Water Resources Research,4,,,Dam impacts on the Changjiang (Yangtze) River sediment discharge to the sea: The past 55 years and after the Three Gorges Dam,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2005WR003970,42,2006,/scholar?cites=10201380969259335887,siz6KbYAAAAJ:oQ8ZOKt5vhAC

1013003,"The climate change in China shows a considerable similarity to the global change, however, there still exist significant differences between them. In the context of the global warming, the annual mean surface temperature has significantly increased during the past 100 years, with slightly greater magnitude of temperature increase than the globe. The precipitation trends during the last 50 and 100 years are not obvious, but since 1956 it has assumed a weak increasing trend. The frequency and intensity of main extreme weather and climate events have also assumed significant change. The research has shown that the CO2 emission in China has continuously increased and the sum of positive radiative forcings produced by greenhouse gases is responsible for climate warming. The projection of climate change for the 21 st century has indicated that in the future 20-100 years, the surface temperature will continue to increase and precipitation also has an increasing trend.",YH Ding and GY Ren and GY Shi and Peng Gong and XH Zheng and PM Zhai and DE Zhang and ZC Zhao and SW Wang and HJ Wang and Y Luo and DL Chen and XJ Gao and XS Dai,464,12036228238115566919,Advances in Climate Change Research,1,3-8,,National assessment report of climate change (I): climate change in China and its future trend,http://en.cnki.com.cn/article_en/cjfdtotal-qhbh200601001.htm,2,2006,/scholar?cites=12036228238115566919,siz6KbYAAAAJ:bxbQgRQgr4sC

1013004,"We designed and fabricated supercapacitors by directly drawing graphite on cellulose paper. The supercapacitors show stable long cycling performance and a high areal capacitance of 2.3 mF cm−2, which is much higher than the literature reported values. This solvent-free deposition technique represents a low cost, highly scalable and versatile fabrication method for integrated paper-based energy devices.",Guangyuan Zheng and Liangbing Hu and Hui Wu and Xing Xie and Yi Cui,358,92360822856747878,Energy & Environmental Science,9,3368-3373,Royal Society of Chemistry,Paper supercapacitors by a solvent-free drawing method,https://pubs.rsc.org/en/content/articlehtml/2011/ee/c1ee01853a,4,2011,/scholar?cites=92360822856747878,siz6KbYAAAAJ:cWzG1nlazyYC
