id,abstract,author,cites,cites_id,journal,number,pages,publisher,title,url,volume,year,citation_link,id_citations
1019000,"FLUXNET is a global network of micrometeorological flux measurement sites that measure the exchanges of carbon dioxide, water vapor, and energy between the biosphere and atmosphere. At present over 140 sites are operating on a long-term and continuous basis. Vegetation under study includes temperate conifer and broadleaved (deciduous and evergreen) forests, tropical and boreal forests, crops, grasslands, chaparral, wetlands, and tundra. Sites exist on five continents and their latitudinal distribution ranges from 70°N to 30°S.FLUXNET has several primary functions. First, it provides infrastructure for compiling, archiving, and distributing carbon, water, and energy flux measurement, and meteorological, plant, and soil data to the science community. (Data and site information are available online at the FLUXNET Web site, http://www-eosdis.ornl.gov/FLUXNET/.) Second, the project supports calibration …",Dennis Baldocchi and Eva Falge and Lianhong Gu and Richard Olson and David Hollinger and Steve Running and Peter Anthoni and Ch Bernhofer and Kenneth Davis and Robert Evans and Jose Fuentes and Allen Goldstein and Gabriel Katul and Beverly Law and Xuhui Lee and Yadvinder Malhi and Tilden Meyers and William Munger and Walt Oechel and Kyaw Tha Paw U and Kim Pilegaard and Hans-Peter Schmid and Riccardo Valentini and Shashi Verma and Timo Vesala and Kell Wilson and Steve Wofsy,3292,2847889711963069330,Bulletin of the American Meteorological Society,11,2415-2434,American Meteorological Society,"FLUXNET: A new tool to study the temporal and spatial variability of ecosystem-scale carbon dioxide, water vapor, and energy flux densities",https://journals.ametsoc.org/bams/article/82/11/2415/57296,82,2001,/scholar?cites=2847889711963069330,dJ8MMFoAAAAJ:u5HHmVD_uO8C
1019001,"This paper discusses the advantages and disadvantages of the different methods that separate net ecosystem exchange (NEE) into its major components, gross ecosystem carbon uptake (GEP) and ecosystem respiration (Reco). In particular, we analyse the effect of the extrapolation of night‐time values of ecosystem respiration into the daytime; this is usually done with a temperature response function that is derived from long‐term data sets. For this analysis, we used 16 one‐year‐long data sets of carbon dioxide exchange measurements from European and US‐American eddy covariance networks. These sites span from the boreal to Mediterranean climates, and include deciduous and evergreen forest, scrubland and crop ecosystems.We show that the temperature sensitivity of Reco, derived from long‐term (annual) data sets, does not reflect the short‐term temperature sensitivity that is effective when …",Markus Reichstein and Eva Falge and Dennis Baldocchi and Dario Papale and Marc Aubinet and Paul Berbigier and Christian Bernhofer and Nina Buchmann and Tagir Gilmanov and André Granier and Thomas Grünwald and Katka Havránková and Hannu Ilvesniemi and Dalibor Janous and Alexander Knohl and Tuomas Laurila and Annalea Lohila and Denis Loustau and Giorgio Matteucci and Tilden Meyers and Franco Miglietta and Jean‐Marc Ourcival and Jukka Pumpanen and Serge Rambal and Eyal Rotenberg and Maria Sanz and John Tenhunen and Günther Seufert and Francesco Vaccari and Timo Vesala and Dan Yakir and Riccardo Valentini,2380,406120118646762663,Global change biology,9,1424-1439,Blackwell Science Ltd,On the separation of net ecosystem exchange into assimilation and ecosystem respiration: review and improved algorithm,https://onlinelibrary.wiley.com/doi/abs/10.1111/J.1365-2486.2005.001002.x,11,2005,/scholar?cites=406120118646762663,dJ8MMFoAAAAJ:UeHWp8X0CEIC
1019002,"The eddy covariance technique ascertains the exchange rate of CO2 across the interface between the atmosphere and a plant canopy by measuring the covariance between fluctuations in vertical wind velocity and CO2 mixing ratio. Two decades ago, the method was employed to study CO2 exchange of agricultural crops under ideal conditions during short field campaigns. During the past decade the eddy covariance method has emerged as an important tool for evaluating fluxes of carbon dioxide between terrestrial ecosystems and the atmosphere over the course of a year, and more. At present, the method is being applied in a nearly continuous mode to study carbon dioxide and water vapor exchange at over a hundred and eighty field sites, worldwide. The objective of this review is to assess the eddy covariance method as it is being applied by the global change community on increasingly longer time scales …",Dennis D Baldocchi,2372,11987482007187418496,Global change biology,4,479-492,Blackwell Science Ltd,"Assessing the eddy covariance technique for evaluating carbon dioxide exchange rates of ecosystems: past, present and future",https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-2486.2003.00629.x,9,2003,/scholar?cites=11987482007187418496,dJ8MMFoAAAAJ:d1gkVwhDpl0C
1019003,"A comprehensive evaluation of energy balance closure is performed across 22 sites and 50 site-years in FLUXNET, a network of eddy covariance sites measuring long-term carbon and energy fluxes in contrasting ecosystems and climates. Energy balance closure was evaluated by statistical regression of turbulent energy fluxes (sensible and latent heat (LE)) against available energy (net radiation, less the energy stored) and by solving for the energy balance ratio, the ratio of turbulent energy fluxes to available energy. These methods indicate a general lack of closure at most sites, with a mean imbalance in the order of 20%. The imbalance was prevalent in all measured vegetation types and in climates ranging from Mediterranean to temperate and arctic. There were no clear differences between sites using open and closed path infrared gas analyzers. At a majority of sites closure improved with turbulent intensity …",Kell Wilson and Allen Goldstein and Eva Falge and Marc Aubinet and Dennis Baldocchi and Paul Berbigier and Christian Bernhofer and Reinhart Ceulemans and Han Dolman and Chris Field and Achim Grelle and Andreas Ibrom and BE Law and Andy Kowalski and Tilden Meyers and John Moncrieff and Russ Monson and Walter Oechel and John Tenhunen and Riccardo Valentini and Shashi Verma,2168,9954418101978119639,Agricultural and Forest Meteorology,1-4,223-243,Elsevier,Energy balance closure at FLUXNET sites,https://www.sciencedirect.com/science/article/pii/S0168192302001090,113,2002,/scholar?cites=9954418101978119639,dJ8MMFoAAAAJ:2osOgNQ5qMEC
1019004,"Plant traits – the morphological, anatomical, physiological, biochemical and phenological characteristics of plants and their organs – determine how primary producers respond to environmental factors, affect other trophic levels, influence ecosystem processes and services and provide a link from species richness to ecosystem functional diversity. Trait data thus represent the raw material for a wide range of research from evolutionary biology, community and functional ecology to biogeography. Here we present the global database initiative named TRY, which has united a wide range of the plant trait research community worldwide and gained an unprecedented buy‐in of trait data: so far 93 trait databases have been contributed. The data repository currently contains almost three million trait entries for 69 000 out of the world's 300 000 plant species, with a focus on 52 groups of traits characterizing the vegetative …",Jens Kattge and Sandra Diaz and Sandra Lavorel and I Colin Prentice and Paul Leadley and Gerhard Bönisch and Eric Garnier and Mark Westoby and Peter B Reich and Ian J Wright and JHC Cornelissen and Cyrille Violle and Sandy P Harrison and Peter M Van Bodegom and Markus Reichstein and Brian J Enquist and Nadejda A Soudzilovskaia and David D Ackerly and Madhur Anand and Owen Atkin and Michael Bahn and Timothy R Baker and D Baldocchi and R Bekker and Carolina C Blanco and Benjamin Blonder and WJ Bond and Ross Bradstock and Daniel E Bunker and Fernando Casanoves and Jeannine CAVENDER‐BARES and Jeffrey Q Chambers and FS Chapin Iii and Jerome Chave and David Coomes and William K Cornwell and Joseph M Craine and BH Dobrin and L Duarte and Walter Durka and James Elser and G Esser and Marc Estiarte and William F Fagan and Jingyun Fang and F Fernández‐Méndez and Alessandra Fidelis and Brian Finegan and Olivier Flores and Hilary Ford and D Frank and Grégoire T Freschet and Nikolaos M Fyllas and Rachael V Gallagher and Walton A Green and Alvaro G Gutierrez and Thomas Hickler and Steven I Higgins and JG Hodgson and Adel Jalili and Steven Jansen and Carlos A Joly and Andrew J Kerkhoff and Don Kirkup and Kaoru Kitajima and Michael Kleyer and Stefan Klotz and Johannes MH Knops and Koen Kramer and I Kühn and Hiroko Kurokawa and D Laughlin and TD Lee and Michelle Leishman and Frederic Lens and T Lenz and SL Lewis and J Lloyd and Joan Llusiá and Frederique Louault and S Ma and MD Mahecha and P Manning and T Massad and Belinda E Medlyn and J Messier and AT Moles and SC Müller and K Nadrowski and S Naeem and Ü Niinemets and Stephanie Nöllert and Angela Nueske and R Ogaya and J Oleksyn and VG Onipchenko and Y Onoda and J Ordoñez and G Overbeck and WAet Ozinga and S Patiño and S Paula and JG Pausas and J Peñuelas and OL Phillips and V Pillar and H Poorter and L Poorter and P Poschlod and A Prinzing and R Proulx and A Rammig and Sabine Reinsch and B Reu and L Sack and B Salgado‐Negret and J Sardans and S Shiodera and B Shipley and A Siefert and E Sosinski and J‐F Soussana and E Swaine and N Swenson and K Thompson and P Thornton and M Waldram and E Weiher and M White and S White and S Joseph Wright and B Yguel and Sönke Zaehle and AE Zanne and Christian Wirth,1933,4922912965000452516,Global change biology,9,2905-2935,Blackwell Publishing Ltd,TRY–a global database of plant traits,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2486.2011.02451.x,17,2011,/scholar?cites=4922912965000452516,dJ8MMFoAAAAJ:nb7KW1ujOQ8C
1019005,"Terrestrial gross primary production (GPP) is the largest global CO2 flux driving several ecosystem functions. We provide an observation-based estimate of this flux at 123 ± 8 petagrams of carbon per year (Pg C year−1) using eddy covariance flux data and various diagnostic models. Tropical forests and savannahs account for 60%. GPP over 40% of the vegetated land is associated with precipitation. State-of-the-art process-oriented biosphere models used for climate predictions exhibit a large between-model variation of GPP’s latitudinal patterns and show higher spatial correlations between GPP and precipitation, suggesting the existence of missing processes or feedback mechanisms which attenuate the vegetation response to climate. Our estimates of spatially distributed GPP and its covariation with climate can help improve coupled climate–carbon cycle process models.",Christian Beer and Markus Reichstein and Enrico Tomelleri and Philippe Ciais and Martin Jung and Nuno Carvalhais and Christian Rödenbeck and M Altaf Arain and Dennis Baldocchi and Gordon B Bonan and Alberte Bondeau and Alessandro Cescatti and Gitta Lasslop and Anders Lindroth and Mark Lomas and Sebastiaan Luyssaert and Hank Margolis and Keith W Oleson and Olivier Roupsard and Elmar Veenendaal and Nicolas Viovy and Christopher Williams and F Ian Woodward and Dario Papale,1785,4069675734563669368,Science,5993,834-838,American Association for the Advancement of Science,Terrestrial gross carbon dioxide uptake: global distribution and covariation with climate,https://science.sciencemag.org/content/329/5993/834.abstract,329,2010,/scholar?cites=4069675734563669368,dJ8MMFoAAAAJ:k_IJM867U9cC
1019006,"Heightened awareness of global change issues within both science and political communities has increased interest in using the global network of eddy covariance flux towers to more fully understand the impacts of natural and anthropogenic phenomena on the global carbon balance. Comparisons of net ecosystem exchange (FNEE) responses are being made among biome types, phenology patterns, and stress conditions. The comparisons are usually performed on annual sums of FNEE; however, the average data coverage during a year is only 65%. Therefore, robust and consistent gap filling methods are required.We review several methods of gap filling and apply them to data sets available from the EUROFLUX and AmeriFlux databases. The methods are based on mean diurnal variation (MDV), look-up tables (LookUp), and nonlinear regressions (Regr.), and the impact of different gap filling methods on the …",Eva Falge and Dennis Baldocchi and Richard Olson and Peter Anthoni and Marc Aubinet and Christian Bernhofer and George Burba and Reinhart Ceulemans and Robert Clement and Han Dolman and André Granier and Patrick Gross and Thomas Grünwald and David Hollinger and Niels-Otto Jensen and Gabriel Katul and Petri Keronen and Andrew Kowalski and Chun Ta Lai and Beverley E Law and Tilden Meyers and John Moncrieff and Eddy Moors and J William Munger and Kim Pilegaard and Üllar Rannik and Corinna Rebmann and Andrew Suyker and John Tenhunen and Kevin Tu and Shashi Verma and Timo Vesala and Kell Wilson and Steve Wofsy,1777,12761148482319520877,Agricultural and forest meteorology,1,43-69,Elsevier,Gap filling strategies for defensible annual sums of net ecosystem exchange,https://www.sciencedirect.com/science/article/pii/S0168192300002252,107,2001,/scholar?cites=12761148482319520877,dJ8MMFoAAAAJ:u-x6o8ySG0sC
1019007,"Ecologists are expected to play an important role in future studies of the biosphere/atmosphere exchange of materials associated with the major biogeochemical cycles and climate. Most studies of material exchange reported in the ecological literature have relied on chamber techniques. Micrometeorological techniques provide an alternative means of measuring these exchange rates and are expected to be used more often in future ecological studies, since they have many advantages over the chamber techniques. In this article we will provide an overview of micrometeorological theory and the different micrometeorological techniques available to make flux measurements.",Dennis D Baldocchi and Bruce B Hincks and Tilden P Meyers,1568,4283973674756113394,Ecology,5,1331-1340,Ecological Society of America,Measuring biosphere‐atmosphere exchanges of biologically related gases with micrometeorological methods,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.2307/1941631,69,1988,/scholar?cites=4283973674756113394,dJ8MMFoAAAAJ:9yKSN-GCB0IC
1019008,"The objective of this research was to compare seasonal and annual estimates of CO2 and water vapor exchange across sites in forests, grasslands, crops, and tundra that are part of an international network called FLUXNET, and to investigating the responses of vegetation to environmental variables. FLUXNETs goals are to understand the mechanisms controlling the exchanges of CO2, water vapor and energy across a spectrum of time and space scales, and to provide information for modeling of carbon and water cycling across regions and the globe. At a subset of sites, net carbon uptake (net ecosystem exchange, the net of photosynthesis and respiration) was greater under diffuse than under direct radiation conditions, perhaps because of a more efficient distribution of non-saturating light conditions for photosynthesis, lower vapor pressure deficit limitation to photosynthesis, and lower respiration associated …",BE Law and E Falge and L v Gu and DD Baldocchi and P Bakwin and Paul Berbigier and Kristin Davis and AJ Dolman and M Falk and JD Fuentes and A Goldstein and A Granier and A Grelle and D Hollinger and IA Janssens and P Jarvis and NO Jensen and G Katul and Y Mahli and G Matteucci and T Meyers and Russell Monson and W Munger and W Oechel and R Olson and K Pilegaard and H Thorgeirsson and R Valentini and S Verma and T Vesala and K Wilson and S Wofsy,1153,4228538500149414895,Agricultural and Forest Meteorology,1-4,97-120,Elsevier,Environmental controls over carbon dioxide and water vapor exchange of terrestrial vegetation,https://www.sciencedirect.com/science/article/pii/S0168192302001041,113,2002,/scholar?cites=4228538500149414895,dJ8MMFoAAAAJ:IjCSPb-OGe4C
1019009,"Published eddy covariance measurements of carbon dioxide (CO2) exchange between vegetation and the atmosphere from a global network are distilled, synthesised and reviewed according to time scale, climate and plant functional types, disturbance and land use. Other topics discussed include history of the network, errors and issues associated with the eddy covariance method, and a synopsis of how these data are being used by ecosystem and climate modellers and the remote-sensing community. Spatial and temporal differences in net annual exchange, FN, result from imbalances in canopy photosynthesis (FA) and ecosystem respiration (FR), which scale closely with one another on annual time scales. Key findings reported include the following: (1) ecosystems with the greatest net carbon uptake have the longest growing season, not the greatest FA; (2) ecosystems losing carbon were recently disturbed …",Dennis Baldocchi,1091,4885457431299537358,Australian Journal of Botany,1,1-26,CSIRO PUBLISHING,‘Breathing’of the terrestrial biosphere: lessons learned from a global network of carbon dioxide flux measurement systems,http://www.publish.csiro.au/BT/BT07151,56,2008,/scholar?cites=4885457431299537358,dJ8MMFoAAAAJ:LkGwnXOMwfcC
