,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,author_id,eprint_url,got_citations
31475,Absolute cross sections for multi-electron processes in low energy Arq+− Ar collisions: Comparison with theory,1985,A Bárány and G Astner and H Cederquist and H Danared and S Huldt and P Hvelplund and A Johnson and H Knudsen and L Liljeby and K-G Rensfelt,9,Nuclear Instruments and Methods in Physics Research Section B: Beam Interactions with Materials and Atoms,4,397-399,North-Holland,,True,toUNWLEAAAAJ:JoZmwDi-zQgC,270,,10180239006861017282,/scholar?cites=10180239006861017282,,,0
31476,An experimental investigation of double ionisation of helium atoms in collisions with fast. fully stripped ions,1984,H Knudsen and LH Andersen and P Hvelplund and G Astner and H Cederquist and H Danared and L Liljeby and K-G Rensfelt,17,Journal of Physics B: Atomic and Molecular Physics,17,3545,IOP Publishing,,True,toUNWLEAAAAJ:eMMeJKvmdy0C,249,,9872508405526404102,/scholar?cites=9872508405526404102,,,0
31477,Electronic response of  in slow collisions with highly charged ions,2000,H Cederquist and A Fardi and K Haghighat and A Langereis and HT Schmidt and SH Schwartz and JC Levin and IA Sellin and H Lebius and B Huber and MO Larsson and P Hvelplund,61,Physical Review A,2,022712,American Physical Society,,True,toUNWLEAAAAJ:KlAtU1dfN6UC,121,,1658925051577178352,/scholar?cites=1658925051577178352,,,0
31478,The double electrostatic ion ring experiment: A unique cryogenic electrostatic storage ring for merged ion-beams studies,2011,Richard D Thomas and Henning T Schmidt and Guillermo Andler and Mikael Björkhage and Mikael Blom and Lars Brännholm and E Bäckström and Håkan Danared and Susanta Das and Nicole Haag and Per Halldén and Fredrik Hellberg and Anne IS Holm and HAB Johansson and Anders Källberg and Gunnar Källersjö and Mats Larsson and Sven Leontein and Leif Liljeby and Patrik Löfgren and Bo Malm and Sven Mannervik and Masaharu Masuda and Deepankar Misra and A Orbán and Andras Paál and Peter Reinhed and K-G Rensfelt and Stefan Rosén and K Schmidt and Fabian Seitz and Ansgar Simonsson and Jan Weimer and Henning Zettergren and Henrik Cederquist,82,Review of Scientific Instruments,6,065112,American Institute of Physics,,True,toUNWLEAAAAJ:Z5m8FVwuT1cC,119,,13238193523207344335,/scholar?cites=13238193523207344335,,,0
31479,Intra-atomic Electron-Electron Scattering in -He Collisions (Thomas Process) Investigated by Cold Target Recoil Ion Momentum Spectroscopy,1997,V Mergel and R Dörner and M Achler and Kh Khayyat and S Lencinas and J Euler and O Jagutzki and S Nüttgens and M Unverzagt and L Spielberger and W Wu and R Ali and J Ullrich and H Cederquist and A Salin and CJ Wood and RE Olson and Dž Belkić and CL Cocke and H Schmidt-Böcking,79,Physical review letters,3,387,American Physical Society,,True,toUNWLEAAAAJ:umqufdRvDiIC,116,,17829419873631037431,/scholar?cites=17829419873631037431,,,0
31480,First storage of ion beams in the Double Electrostatic Ion-Ring Experiment: DESIREE,2013,Henning T Schmidt and Richard D Thomas and Michael Gatchell and Stefan Rosén and Peter Reinhed and Patrik Löfgren and Lars Brännholm and Mikael Blom and Mikael Björkhage and Erik Bäckström and John D Alexander and Sven Leontein and D Hanstorp and Henning Zettergren and Leif Liljeby and Anders Källberg and Ansgar Simonsson and Fredrik Hellberg and Sven Mannervik and Mats Larsson and Wolf D Geppert and Karl-Gunnar Rensfelt and Håkan Danared and A Paál and Masaharu Masuda and Per Hallden and Guillermo Andler and Mark H Stockett and Tao Chen and Gunnar Källersjö and Jan Weimer and K Hansen and Henrik Hartman and Henrik Cederquist,84,Review of Scientific Instruments,5,055115,American Institute of Physics,,True,toUNWLEAAAAJ:XiSMed-E-HIC,102,,7392423037091903773,/scholar?cites=7392423037091903773,,,0
31481,Fullerene-fullerene collisions: Fragmentation and electron capture,1995,H Shen and P Hvelplund and D Mathur and A Bárány and H Cederquist and N Selberg and DC Lorents,52,Physical Review A,5,3847,American Physical Society,,True,toUNWLEAAAAJ:j8SEvjWlNXcC,93,,12181147488838472345,/scholar?cites=12181147488838472345,,,0
31482,Dissociation and multiple ionization energies for five polycyclic aromatic hydrocarbon molecules,2011,Anne IS Holm and Henrik AB Johansson and Henrik Cederquist and Henning Zettergren,134,The Journal of chemical physics,4,044301,American Institute of Physics,,True,toUNWLEAAAAJ:NaGl4SEjCO4C,89,,4356419787566356571,/scholar?cites=4356419787566356571,,,0
31483,Collision-induced dissociation of hydrated adenosine monophosphate nucleotide ions: Protection of the ion in water nanoclusters,2006,B Liu and S Brøndsted Nielsen and Preben Hvelplund and H Zettergren and H Cederquist and B Manil and BA Huber,97,Physical review letters,13,133401,American Physical Society,,True,toUNWLEAAAAJ:NXb4pA-qfm4C,85,,17502749636791073440,/scholar?cites=17502749636791073440,,,0
31484,Conetrap: A compact electrostatic ion trap,2001,Henning T Schmidt and Henrik Cederquist and Jens Jensen and Afshin Fardi,173,Nuclear Instruments and Methods in Physics Research Section B: Beam Interactions with Materials and Atoms,4,523-527,North-Holland,,True,toUNWLEAAAAJ:YFjsv_pBGBYC,84,,4052744744879079541,/scholar?cites=4052744744879079541,,,0
