,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
26324,"David H. Koch Institute Professor, MIT",@mit.edu,328586,5HX--AYAAAAJ,{'indices'},drug delivery|tissue engineering|biomaterials|nanotechnology|chemistry,Robert Langer,https://scholar.google.com/citations?view_op=medium_photo&user=5HX--AYAAAAJ,112641,282,156,1789,1286,0,0
26325,chemistry,@chem.wayne.edu,214459,eP4l3aoAAAAJ,{'indices'},chemistry,H. Bernhard Schlegel,https://scholar.google.com/citations?view_op=medium_photo&user=eP4l3aoAAAAJ,68134,114,56,467,226,0,0
26326,"Professor of chemistry, stanford university",@stanford.edu,211963,yWdvb8YAAAAJ,{'indices'},chemistry|materials science|physics|nanotechnology,Hongjie Dai,https://scholar.google.com/citations?view_op=medium_photo&user=yWdvb8YAAAAJ,73682,197,133,467,383,0,0
26327,"The IBS CMCM, Dept of Chemistry, School of Energy and ChEng, School of MS&E",@unist.ac.kr,211798,rKoPXo8AAAAJ,{'indices'},Chemistry|materials|carbon materials,Rodney Ruoff,https://scholar.google.com/citations?view_op=medium_photo&user=rKoPXo8AAAAJ,104090,161,122,503,393,0,0
26328,University of Minnesota,@umn.edu,182059,1gaf87YAAAAJ,{'indices'},Chemistry|Physics|Computation,Donald Truhlar,https://scholar.google.com/citations?view_op=medium_photo&user=1gaf87YAAAAJ,66603,177,100,1288,643,0,0
26329,The Scripps Research Institute,@scripps.edu,171988,4FL5jYAAAAAJ,{'indices'},chemistry|molecular biology|biologics|materials science|polymeric materials,K Barry Sharpless (Karl Barry Sharpless),https://scholar.google.com/citations?view_op=medium_photo&user=4FL5jYAAAAAJ,45761,184,88,1049,572,0,0
26330,"Professor of Physical Chemistry, Department of Chemical Sciences, University of Napoli …",@unina.it,167121,ltONfGAAAAAJ,{'indices'},Chemistry|Theoretical Chemistry|Physical Chemistry|Computational Chemistry,Nadia Rega,https://scholar.google.com/citations?view_op=medium_photo&user=ltONfGAAAAAJ,58471,55,36,119,81,0,0
26331,"Professor of Materials Science and NanoEngineering, Rice University",@rice.edu,162330,S5oLGEgAAAAJ,{'indices'},Materials Science|Nanotechnology|Chemistry|Physics,Ajayan PM,https://scholar.google.com/citations?view_op=medium_photo&user=S5oLGEgAAAAJ,77538,191,137,891,744,0,0
26332,Carnegie Mellon University,@andrew.cmu.edu,157724,TSkli5EAAAAJ,{'indices'},Chemistry|Polymers|Polymer Chemistry|Polymer Science|Materials,Krzysztof Matyjaszewski,https://scholar.google.com/citations?view_op=medium_photo&user=TSkli5EAAAAJ,48157,191,90,1190,849,0,0
26333,"Professor of Chemistry, Tokyo Metropolitan University",@tmu.ac.jp,156338,a_WQvWkAAAAJ,{'indices'},Chemistry|Quantum Chemistry|Physical Chemistry,Masahiko Hada,https://scholar.google.com/citations?view_op=medium_photo&user=a_WQvWkAAAAJ,54112,56,30,152,83,0,0
