,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
93363,National Institute on Aging,,87963,Pf_pMQkAAAAJ,{'indices'},,Andrew Singleton,,45017,137,101,523,430,0,0
93364,"Laboratory of Neurogenetics, NIA, NIH",,24654,VOnf_9kAAAAJ,{'indices'},,J Raphael Gibbs,,14503,63,54,125,120,0,0
93365,"National Institute on Aging, NIH",,253746,HhoOnBAAAAAJ,{'indices'},,Luigi Ferrucci,,140280,213,151,1309,1147,0,0
93366,"Laboratory of Neurogenetics, National Institute on Aging",,31177,-t7Y3hAAAAAJ,{'indices'},,Bryan Traynor,,17246,81,58,170,150,0,0
93367,NIH/NIA,,1658,3YyOQ6AAAAAJ,{'indices'},,Cornelis Blauwendraat,,1600,22,20,40,40,0,0
93368,Genentech,,14644,UMlVFBwAAAAJ,{'indices'},,Marcel van der Brug,,8183,41,36,52,48,0,0
93369,"The Framingham Heart Study, Boston University",,256913,Xbwuw8gAAAAJ,{'indices'},,Emelia J. Benjamin,,121514,185,126,661,583,0,0
93370,DZNE,,47019,1kETXBAAAAAJ,{'indices'},,Peter Heutink,,19509,99,62,284,202,0,0
93371,National Institute of Neurological Disorders and Stroke,,11960,Koh2zBcAAAAJ,{'indices'},,Sonja W. Scholz,,5668,35,30,59,53,0,0
93372,UCL Institute of Neurology,,17301,iiV6O9sAAAAJ,{'indices'},,Huw R Morris,,10354,62,50,157,125,0,0
93373,"NLM, National Center for Biotechnology Information",,6689,PkYaLhEAAAAJ,{'indices'},,Allissa Dillman,,4653,33,28,38,37,0,0
93374,"Senior Scientist, Merck & Co.",,3506,1rwqrz4AAAAJ,{'indices'},,"Margaux F. Keller, PhD",,2832,27,24,31,30,0,0
93375,"Professor of Medicine,University of California, San Francisco",,14539,vCuk0SQAAAAJ,{'indices'},,Elad Ziv,,6800,63,42,125,107,0,0
