,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
26345,"Associate professor, University of Lausanne",@chuv.ch,34474,X-5zTC0AAAAJ,{'indices'},Medecine,Pascal Bovet,https://scholar.google.com/citations?view_op=medium_photo&user=X-5zTC0AAAAJ,24007,78,52,254,191,0,0
26346,"professeur,UPMCParis6, APHP,Hop St-Antoine, Paris",@sat.aphp.fr,34429,o_Ia3KgAAAAJ,{'indices'},medecine,Raoul Poupon,https://scholar.google.com/citations?view_op=medium_photo&user=o_Ia3KgAAAAJ,10098,95,50,292,131,0,0
26347,"professeur de galenique, université lyon1",@univ-lyon1.fr,27222,JnkY2c8AAAAJ,{'indices'},Pharmacie|medecine|ingenierie,hatem fessi,https://scholar.google.com/citations?view_op=medium_photo&user=JnkY2c8AAAAJ,12037,79,51,288,185,0,0
26348,aberdeen,@modusmedica.com,15926,0nU4nOEAAAAJ,{'indices'},medecine|medical microbiology|antibiotic resistance|antibiotic stewardship,ian gould,https://scholar.google.com/citations?view_op=medium_photo&user=0nU4nOEAAAAJ,7532,58,32,186,87,0,0
26349,"Cliniques universiatires Saint-Luc, Université catholique de Louvain",@uclouvain.be,15475,XuRduowAAAAJ,{'indices'},Medecine|Néphrologie,Michel Jadoul,https://scholar.google.com/citations?view_op=medium_photo&user=XuRduowAAAAJ,5543,60,37,164,98,0,0
26350,Inserm et Université de Lorraine,@univ-lorraine.fr,14955,hBkrOt4AAAAJ,{'indices'},medecine|biologie,jean-louis gueant,https://scholar.google.com/citations?view_op=medium_photo&user=hBkrOt4AAAAJ,5188,63,36,299,149,0,0
26351,"professeur de radiologie, Université de Bordeaux",@chu-bordeaux.fr,12762,q1lWleIAAAAJ,{'indices'},medecine|imagerie|poumon|coeur,Laurent F,https://scholar.google.com/citations?view_op=medium_photo&user=q1lWleIAAAAJ,4946,62,39,171,113,0,0
26352,Gynéco-obstétrique,,12045,QNpqZv4AAAAJ,{'indices'},Medecine,Alexandra Benachi,https://scholar.google.com/citations?view_op=medium_photo&user=QNpqZv4AAAAJ,5805,60,38,185,143,0,0
26353,"academic professor of urology, sorbonne université",@sorbonne-universite.fr,10177,UsntVpoAAAAJ,{'indices'},medecine,emmanuel chartier-kastler,https://scholar.google.com/citations?view_op=medium_photo&user=UsntVpoAAAAJ,3499,52,29,190,96,0,0
26354,"professeur de nutrition, université d'Auvergne",@clermont.inra.fr,8089,pFJCLJAAAAAJ,{'indices'},medecine,Noel CANO,https://scholar.google.com/citations?view_op=medium_photo&user=pFJCLJAAAAAJ,3309,41,27,78,45,0,0
